Question,Answer
"When David ran away, to which relative did he run?",Betsey Trotwood
What nickname did David's great-aunt call him?,Trot
Why was Uriah Heep in prison?,For defrauding the Bank of England
"To build a new life, where did Peggotty take Emily?",Australia
"How did David's wife, Dora Spenlow, die?",From a miscarriage.
Why wasn't David's father a part of his life?,His father died six months before David was born.
Where was David sent to live after his mother remarried?,With their housekeeper Peggotty's family.
What does David find out when he goes home for the holiday's?,His mother gave birth to a baby boy.
Who was David in love with during his childhood?,Little Em'ly.
Why does David run away when he is in London?,There is no one to care for him.
Why did David's aunt Betsey agree to raise him?,She feels pity for him.
"Who renamed David as ""Trotwood Copperfield""?",His great-aunt Betsey.
When did David meet Agnes?,"When he lodged with her father, the lawyer, Mr.Wickfield."
"What ended David's marraige with his first wife, Dora?",She died after being unable to recover from a miscarriage.
Who did David marry second?,He married Agnes.
Whose family is David sent to live with?,The Peggotty's
Where does Emily move to and with whom?,"Australia with Peggotty, Mrs. Gummidge and the Micawbers"
How does David's first wife pass away?,A miscarriage early in their marraige
Who is Uriah Heep?,Mr. Wickfiel's 15 year old secretary
How many children does David have?,Five.
Who seduces Emily?,Steerforth
How did Steepforth die?,In a storm
Who is Agnes?,David's confidant and Mr. Wickfield's daughter.
Who raises David?,Betsey Trotwood
Where does Jenny work at?,The Palm Beach Post
Where does John work when he moves from Michigan?,South Florida Sun Sentinel
Why does John adopt a dog?,to see if him & jenny are ready to raise a family
What breed of dog is Marley?,A golden labrador
Who is Marley named after?,Reggae singer Bob Marley
Why does Marley get kicked out of Ms. Kornblut's dog training class?,He doesn't obey commands
What are the names jenny & john's children?,patrick and connor
"After John turns 40, what does he decide to do?",takes a job as a reporter for the Philadelphia Inquirer
What condition does Marley die from?,Gastric dilatation volvulus
Where does the family decide to bury Marley?,beneath a tree in  the front yard
What did John and Jenny Grogan do shortly after their wedding?,"They relocated to a cottage in South Florida and got hired as reporters, but for competing newspapers."
Which newspaper company did John work for?,The South Florida Sun-Sentinel.
Who had the better job between John and Jenny?,Jenny did.
What did Sebastian Tunney suggest John and Jenny do?,Adopt a dog first to see if they're ready to raise a family.
What did John realize might be a perfect topic for his first piece for his new assignment?,Marley's misadventures.
What did John and Jenny do in Ireland?,Celebrate a belated honeymoon.
When was Marley especially hard to control?,During frequent thunderstorms.
What did Marley delight in doing in Boca Raton?,Swimming in the backyard pool.
What did Jenny quickly realize after trying to give Marley away?,That Marley had already become and indispensable part of the family.
What almost killed Marley once and also eventually killed him?,An attack of gastric dilatation volvulus.
Where do John and Jenny relocate to after their marriage?,South Florida
Who suggests John to adopt a dog?,John's co-worker and friend Sebastian
What dog do John and Jenny adopt?,Labrador Retriever 
On whose name is Marley named after?,Bob Marley
To whom do John and Jenny take Marley for training?,Ms. Kornblut
Where do John and Jenny travel for a belated honeymoon?,Ireland
What are the names of John and Jenny's children?,Patrick and Connor
Why do John and Jenny move to Boca Raton?,Because of the crime rate
Why did Sebastian move away?,Sebastian moved away because he got a job with The New York Times.
Where does John accept a reporter's position?,The Philadelphia Inquirer
What city was Oscar Grant III shot in?,Oakland
How much time did the officer who shot Oscar serve?,11 months
What is the name of Oscar Grant's daughter?,Tatiana
What is the name of the woman that recognized Oscar on the return train?,Katie
Who detained Oscar grant?,BART Police
What was the name of the station Oscar was shot in?,Fruitvale BART Station
What is the name of Oscar's girlfriend?,Sophia
Why were Oscar and Sophia arguing?,Gran'ts infidelity
Who's birthday party did Oscar Grant attend?,His mother's party
What time was Oscar Grant detained?,2:15am
How was Oscar killed?,he was shot
Why were the police called to the BART station the night Oscar was killed?,Oscar and a former fellow inmate were fighting
When did the former prison inmate notice Oscar at the BART station?,After a customer from his previous job called Oscar's name
Where was Oscar coming from before he was killed?,San Francisco
What had Oscar been celebrating before going to see fireworks?,his mother's birthday
How did Oscar consider earning money after losing his job at the grocery store?,selling marijuana
Who did Oscar speak to on the phone before he was killed?,his girlfriend
How old was Oscar at the time of his death?,22
Which holiday had Katie been celebrating when she saw Oscar at the station?,New Year's Eve/Day
Where was Oscar going when someone attempted to assault him in the station?,home
Who wanted to fight with Grant?,Former inmate
How old was Oscar Grant III?,25 years old.
How did Oscar Grant III died?,He was shot by police.
What happen to the police officer that killed Oscar Grant III?,He served 11 month in jail.
Why did Grant went to the grocery store?,To get his job back.
Who is Tatiana?,Grant's daughter
Where was Oscar Grant III shot?,Fruitvale Bart station.
Who was Sophina?,Grant's girlfriend.
What year was Grant killed?,2009
Where was Grant from?,California.
Where do Curt and Steve meet John and Terry?,Mel's diner
In what city to Curt and Steve go to high school?,"Modesto, California"
What was the value of Curt's scholarship?,"$2,000"
From whom did Curt rreceive his scholarship?,Moose Lodge
What does Steve let Toad borrow?,his car
Laurie is Steve's girlfriend and Curt's what?,sister
Steve suggests he and Laurie do what while he is away?,see other people
What does the beautiful blonde appear to say to Curt while at the stoplight?,I love you
What happens to Bob's car after he rolls it upon completion of the race?,it explodes
John was killed in December 1964. How was he killed?,Hit by drunk driver
How much money did Curt receive in scholarship money?,"$2,000"
"In 1964, how was John killed?",He was killed by a drunk diver.
Where did Toad and Steve go to watch the race?,Paradise Road
Who was competing in the race that Toad and Steve went to watch?,John and Bob Falfa
What is the initiation rite of the greasers?,Attach a chain to a police car to rip out the back axle.
What type of car did Steve let Toad borrow?,1958 Chevy Impala
"What is Steve's job in Modesto, California?",insurance agent
When was Toad reported missing in action?,Dec-65
Where was Curt going when he sees the blonde girl in the white Thunderbird?,the sock hop
What causes Bob to lose control of his car?,Blows a front tire
How is Steve's girlfriend related to Curt?,She is Curt's sister.
"Where do Curt, Steve, and Laurie go to begin the night?",They go to the Back to School sock hop.
What kind of car did Steve drive?,A 1958 Chevrolet Impala.
Who did Steve lend his car to?,He lent it to Toad.
What part of the country was Curt leaving to go to school in?,Curt was going to school in the northeast.
Who else is riding in Bob Falfa's car when it wrecks?,Laurie
Where is Steve living in modern day?,"Modesto, California"
What does Steve say is the reason he wants to see other people while he and Laurie are apart?,He thinks it will strengthen their relationship overall.
Who is Bob Falfa racing when he wrecks his car?,John
What radio host does Curt give a message for the girl he saw to?,The Wolfman
Who is supposed to become Benham's father-in-law?,Jonas Prim
Who did the thief shoot just after stealing from the house of the bank's president?,a hobo
